Start of song
Instrument: recorder
Start of notes
Note: beat=33, position=8, pitch=D5, duration=1, instrument=recorder
Note: beat=33, position=9, pitch=D5, duration=3, instrument=recorder
Note: beat=34, position=6, pitch=G5, duration=2, instrument=recorder
Note: beat=34, position=8, pitch=E5, duration=1, instrument=recorder
Note: beat=34, position=8, pitch=F5, duration=1, instrument=recorder
Note: beat=34, position=9, pitch=D5, duration=1, instrument=recorder
Note: beat=34, position=10, pitch=B4, duration=1, instrument=recorder
Note: beat=34, position=10, pitch=C5, duration=1, instrument=recorder
Note: beat=34, position=11, pitch=A4, duration=1, instrument=recorder
Note: beat=35, position=0, pitch=G5, duration=1, instrument=recorder
Note: beat=35, position=1, pitch=F5, duration=1, instrument=recorder
Note: beat=35, position=2, pitch=E5, duration=1, instrument=recorder
Note: beat=35, position=2, pitch=F5, duration=1, instrument=recorder
Note: beat=35, position=3, pitch=E5, duration=3, instrument=recorder
Note: beat=36, position=0, pitch=F5, duration=3, instrument=recorder
Note: beat=36, position=3, pitch=G5, duration=3, instrument=recorder
Note: beat=36, position=6, pitch=A5, duration=3, instrument=recorder
Note: beat=36, position=9, pitch=A#5, duration=3, instrument=recorder
Note: beat=37, position=6, pitch=A5, duration=1, instrument=recorder
Note: beat=37, position=7, pitch=A#5, duration=1, instrument=recorder
Note: beat=37, position=8, pitch=C6, duration=1, instrument=recorder
Note: beat=37, position=9, pitch=A#5, duration=1, instrument=recorder
Note: beat=37, position=10, pitch=C6, duration=1, instrument=recorder
Note: beat=37, position=11, pitch=D6, duration=1, instrument=recorder
Note: beat=38, position=0, pitch=C6, duration=1, instrument=recorder
Note: beat=38, position=1, pitch=D6, duration=1, instrument=recorder
Note: beat=38, position=2, pitch=D#6, duration=1, instrument=recorder
Note: beat=38, position=3, pitch=D6, duration=1, instrument=recorder
Note: beat=38, position=4, pitch=D#6, duration=1, instrument=recorder
Note: beat=38, position=5, pitch=C6, duration=1, instrument=recorder
Note: beat=38, position=6, pitch=D6, duration=1, instrument=recorder
Note: beat=38, position=7, pitch=D#6, duration=1, instrument=recorder
Note: beat=38, position=8, pitch=C6, duration=1, instrument=recorder
Note: beat=38, position=9, pitch=D6, duration=1, instrument=recorder
Note: beat=38, position=10, pitch=C6, duration=1, instrument=recorder
Note: beat=38, position=11, pitch=D6, duration=1, instrument=recorder
Note: beat=39, position=0, pitch=C5, duration=1, instrument=recorder
Note: beat=39, position=1, pitch=D5, duration=1, instrument=recorder
Note: beat=39, position=2, pitch=D#5, duration=1, instrument=recorder
Note: beat=39, position=3, pitch=D5, duration=1, instrument=recorder
Note: beat=39, position=4, pitch=E5, duration=1, instrument=recorder
Note: beat=39, position=5, pitch=F5, duration=1, instrument=recorder
Note: beat=39, position=6, pitch=E5, duration=1, instrument=recorder
Note: beat=39, position=7, pitch=F5, duration=1, instrument=recorder
